TOP.5fe6a037.000b1094	START
TOP.5fe6a037.000b1094	user_options->left	0
TOP.5fe6a037.000b1094	user_options->logfile_disable	0
TOP.5fe6a037.000b1094	user_options->loopback	0
TOP.5fe6a037.000b1094	user_options->machine_readable	0
TOP.5fe6a037.000b1094	user_options->markov_classic	0
TOP.5fe6a037.000b1094	user_options->markov_disable	0
TOP.5fe6a037.000b1094	user_options->markov_threshold	256
TOP.5fe6a037.000b1094	user_options->backend_info	0
TOP.5fe6a037.000b1094	user_options->backend_vector_width	0
TOP.5fe6a037.000b1094	user_options->optimized_kernel_enable	0
TOP.5fe6a037.000b1094	user_options->outfile_autohex	1
TOP.5fe6a037.000b1094	user_options->outfile_check_timer	5
TOP.5fe6a037.000b1094	user_options->outfile_format	3
TOP.5fe6a037.000b1094	user_options->wordlist_autohex_disable	0
TOP.5fe6a037.000b1094	user_options->potfile_disable	0
TOP.5fe6a037.000b1094	user_options->progress_only	0
TOP.5fe6a037.000b1094	user_options->quiet	0
TOP.5fe6a037.000b1094	user_options->remove	0
TOP.5fe6a037.000b1094	user_options->remove_timer	60
TOP.5fe6a037.000b1094	user_options->restore	0
TOP.5fe6a037.000b1094	user_options->restore_disable	0
TOP.5fe6a037.000b1094	user_options->restore_timer	60
TOP.5fe6a037.000b1094	user_options->rp_files_cnt	0
TOP.5fe6a037.000b1094	user_options->rp_gen	0
TOP.5fe6a037.000b1094	user_options->rp_gen_func_max	4
TOP.5fe6a037.000b1094	user_options->rp_gen_func_min	1
TOP.5fe6a037.000b1094	user_options->rp_gen_seed	0
TOP.5fe6a037.000b1094	user_options->runtime	0
TOP.5fe6a037.000b1094	user_options->scrypt_tmto	0
TOP.5fe6a037.000b1094	user_options->segment_size	33554432
TOP.5fe6a037.000b1094	user_options->self_test_disable	0
TOP.5fe6a037.000b1094	user_options->slow_candidates	0
TOP.5fe6a037.000b1094	user_options->show	0
TOP.5fe6a037.000b1094	user_options->speed_only	0
TOP.5fe6a037.000b1094	user_options->spin_damp	0
TOP.5fe6a037.000b1094	user_options->status	0
TOP.5fe6a037.000b1094	user_options->status_json	0
TOP.5fe6a037.000b1094	user_options->status_timer	10
TOP.5fe6a037.000b1094	user_options->stdout_flag	0
TOP.5fe6a037.000b1094	user_options->usage	0
TOP.5fe6a037.000b1094	user_options->username	0
TOP.5fe6a037.000b1094	user_options->veracrypt_pim_start	485
TOP.5fe6a037.000b1094	user_options->veracrypt_pim_stop	485
TOP.5fe6a037.000b1094	user_options->version	0
TOP.5fe6a037.000b1094	user_options->workload_profile	2
TOP.5fe6a037.000b1094	user_options->brain_client	0
TOP.5fe6a037.000b1094	user_options->brain_client_features	2
TOP.5fe6a037.000b1094	user_options->brain_server	0
TOP.5fe6a037.000b1094	user_options->brain_server_timer	300
TOP.5fe6a037.000b1094	user_options->brain_port	6863
TOP.5fe6a037.000b1094	user_options->brain_session	0
TOP.5fe6a037.000b1094	hashes->hashlist_mode	2
TOP.5fe6a037.000b1094	hashes->hashlist_format	0
TOP.5fe6a037.000b1094	hashes->hashes_cnt	0
TOP.5fe6a037.000b1094	hashes->digests_cnt	1
TOP.5fe6a037.000b1094	hashes->digests_done	0
TOP.5fe6a037.000b1094	hashes->salts_cnt	1
TOP.5fe6a037.000b1094	hashes->salts_done	0
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	START
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	runtime_start	1608949816
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	runtime_stop	1608949816
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	status-after-work	5
TOP.5fe6a037.000b1094	SUB.5fe6a037.000e42c3	STOP
TOP.5fe6a037.000b1094	proc_start	1608949815
TOP.5fe6a037.000b1094	proc_stop	1608949817
TOP.5fe6a037.000b1094	STOP
TOP.5fe6a049.000f017e	START
TOP.5fe6a049.000f017e	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe6a049.000f017e	folder_config->install_dir	.
TOP.5fe6a049.000f017e	folder_config->profile_dir	.
TOP.5fe6a049.000f017e	folder_config->session_dir	.
TOP.5fe6a049.000f017e	folder_config->shared_dir	.
TOP.5fe6a049.000f017e	user_options->separator	:
TOP.5fe6a049.000f017e	user_options->encoding_from	utf-8
TOP.5fe6a049.000f017e	user_options->encoding_to	utf-8
TOP.5fe6a049.000f017e	user_options->rule_buf_l	:
TOP.5fe6a049.000f017e	user_options->rule_buf_r	:
TOP.5fe6a049.000f017e	user_options->session	hashcat
TOP.5fe6a049.000f017e	user_options->limit	0
TOP.5fe6a049.000f017e	user_options->skip	0
TOP.5fe6a049.000f017e	user_options->attack_mode	0
TOP.5fe6a049.000f017e	user_options->benchmark	0
TOP.5fe6a049.000f017e	user_options->benchmark_all	0
TOP.5fe6a049.000f017e	user_options->bitmap_max	18
TOP.5fe6a049.000f017e	user_options->bitmap_min	16
TOP.5fe6a049.000f017e	user_options->debug_mode	0
TOP.5fe6a049.000f017e	user_options->example_hashes	0
TOP.5fe6a049.000f017e	user_options->force	0
TOP.5fe6a049.000f017e	user_options->hwmon_disable	0
TOP.5fe6a049.000f017e	user_options->hwmon_temp_abort	90
TOP.5fe6a049.000f017e	user_options->hash_mode	0
TOP.5fe6a049.000f017e	user_options->hex_charset	0
TOP.5fe6a049.000f017e	user_options->hex_salt	0
TOP.5fe6a049.000f017e	user_options->hex_wordlist	0
TOP.5fe6a049.000f017e	user_options->hook_threads	32
TOP.5fe6a049.000f017e	user_options->increment	0
TOP.5fe6a049.000f017e	user_options->increment_max	256
TOP.5fe6a049.000f017e	user_options->increment_min	1
TOP.5fe6a049.000f017e	user_options->keep_guessing	0
TOP.5fe6a049.000f017e	user_options->kernel_accel	0
TOP.5fe6a049.000f017e	user_options->kernel_loops	0
TOP.5fe6a049.000f017e	user_options->kernel_threads	0
TOP.5fe6a049.000f017e	user_options->keyspace	0
TOP.5fe6a049.000f017e	user_options->left	0
TOP.5fe6a049.000f017e	user_options->logfile_disable	0
TOP.5fe6a049.000f017e	user_options->loopback	0
TOP.5fe6a049.000f017e	user_options->machine_readable	0
TOP.5fe6a049.000f017e	user_options->markov_classic	0
TOP.5fe6a049.000f017e	user_options->markov_disable	0
TOP.5fe6a049.000f017e	user_options->markov_threshold	256
TOP.5fe6a049.000f017e	user_options->backend_info	0
TOP.5fe6a049.000f017e	user_options->backend_vector_width	0
TOP.5fe6a049.000f017e	user_options->optimized_kernel_enable	0
TOP.5fe6a049.000f017e	user_options->outfile_autohex	1
TOP.5fe6a049.000f017e	user_options->outfile_check_timer	5
TOP.5fe6a049.000f017e	user_options->outfile_format	3
TOP.5fe6a049.000f017e	user_options->wordlist_autohex_disable	0
TOP.5fe6a049.000f017e	user_options->potfile_disable	0
TOP.5fe6a049.000f017e	user_options->progress_only	0
TOP.5fe6a049.000f017e	user_options->quiet	0
TOP.5fe6a049.000f017e	user_options->remove	0
TOP.5fe6a049.000f017e	user_options->remove_timer	60
TOP.5fe6a049.000f017e	user_options->restore	0
TOP.5fe6a049.000f017e	user_options->restore_disable	0
TOP.5fe6a049.000f017e	user_options->restore_timer	60
TOP.5fe6a049.000f017e	user_options->rp_files_cnt	0
TOP.5fe6a049.000f017e	user_options->rp_gen	0
TOP.5fe6a049.000f017e	user_options->rp_gen_func_max	4
TOP.5fe6a049.000f017e	user_options->rp_gen_func_min	1
TOP.5fe6a049.000f017e	user_options->rp_gen_seed	0
TOP.5fe6a049.000f017e	user_options->runtime	0
TOP.5fe6a049.000f017e	user_options->scrypt_tmto	0
TOP.5fe6a049.000f017e	user_options->segment_size	33554432
TOP.5fe6a049.000f017e	user_options->self_test_disable	0
TOP.5fe6a049.000f017e	user_options->slow_candidates	0
TOP.5fe6a049.000f017e	user_options->show	0
TOP.5fe6a049.000f017e	user_options->speed_only	0
TOP.5fe6a049.000f017e	user_options->spin_damp	0
TOP.5fe6a049.000f017e	user_options->status	0
TOP.5fe6a049.000f017e	user_options->status_json	0
TOP.5fe6a049.000f017e	user_options->status_timer	10
TOP.5fe6a049.000f017e	user_options->stdout_flag	0
TOP.5fe6a049.000f017e	user_options->usage	0
TOP.5fe6a049.000f017e	user_options->username	0
TOP.5fe6a049.000f017e	user_options->veracrypt_pim_start	485
TOP.5fe6a049.000f017e	user_options->veracrypt_pim_stop	485
TOP.5fe6a049.000f017e	user_options->version	0
TOP.5fe6a049.000f017e	user_options->workload_profile	2
TOP.5fe6a049.000f017e	user_options->brain_client	0
TOP.5fe6a049.000f017e	user_options->brain_client_features	2
TOP.5fe6a049.000f017e	user_options->brain_server	0
TOP.5fe6a049.000f017e	user_options->brain_server_timer	300
TOP.5fe6a049.000f017e	user_options->brain_port	6863
TOP.5fe6a049.000f017e	user_options->brain_session	0
TOP.5fe6a049.000f017e	hashes->hashlist_mode	2
TOP.5fe6a049.000f017e	hashes->hashlist_format	0
TOP.5fe6a049.000f017e	hashes->hashes_cnt	0
TOP.5fe6a049.000f017e	hashes->digests_cnt	1
TOP.5fe6a049.000f017e	hashes->digests_done	0
TOP.5fe6a049.000f017e	hashes->salts_cnt	1
TOP.5fe6a049.000f017e	hashes->salts_done	0
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	START
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	runtime_start	1608949834
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	runtime_stop	1608949834
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	status-after-work	5
TOP.5fe6a049.000f017e	SUB.5fe6a04a.00048758	STOP
TOP.5fe6a049.000f017e	proc_start	1608949833
TOP.5fe6a049.000f017e	proc_stop	1608949835
TOP.5fe6a049.000f017e	STOP
TOP.5fe6a05b.000e6e4f	START
TOP.5fe6a05b.000e6e4f	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe6a05b.000e6e4f	folder_config->install_dir	.
TOP.5fe6a05b.000e6e4f	folder_config->profile_dir	.
TOP.5fe6a05b.000e6e4f	folder_config->session_dir	.
TOP.5fe6a05b.000e6e4f	folder_config->shared_dir	.
TOP.5fe6a05b.000e6e4f	user_options->separator	:
TOP.5fe6a05b.000e6e4f	user_options->encoding_from	utf-8
TOP.5fe6a05b.000e6e4f	user_options->encoding_to	utf-8
TOP.5fe6a05b.000e6e4f	user_options->rule_buf_l	:
TOP.5fe6a05b.000e6e4f	user_options->rule_buf_r	:
TOP.5fe6a05b.000e6e4f	user_options->session	hashcat
TOP.5fe6a05b.000e6e4f	user_options->limit	0
TOP.5fe6a05b.000e6e4f	user_options->skip	0
TOP.5fe6a05b.000e6e4f	user_options->attack_mode	0
TOP.5fe6a05b.000e6e4f	user_options->benchmark	0
TOP.5fe6a05b.000e6e4f	user_options->benchmark_all	0
TOP.5fe6a05b.000e6e4f	user_options->bitmap_max	18
TOP.5fe6a05b.000e6e4f	user_options->bitmap_min	16
TOP.5fe6a05b.000e6e4f	user_options->debug_mode	0
TOP.5fe6a05b.000e6e4f	user_options->example_hashes	0
TOP.5fe6a05b.000e6e4f	user_options->force	0
TOP.5fe6a05b.000e6e4f	user_options->hwmon_disable	0
TOP.5fe6a05b.000e6e4f	user_options->hwmon_temp_abort	90
TOP.5fe6a05b.000e6e4f	user_options->hash_mode	0
TOP.5fe6a05b.000e6e4f	user_options->hex_charset	0
TOP.5fe6a05b.000e6e4f	user_options->hex_salt	0
TOP.5fe6a05b.000e6e4f	user_options->hex_wordlist	0
TOP.5fe6a05b.000e6e4f	user_options->hook_threads	32
TOP.5fe6a05b.000e6e4f	user_options->increment	0
TOP.5fe6a05b.000e6e4f	user_options->increment_max	256
TOP.5fe6a05b.000e6e4f	user_options->increment_min	1
TOP.5fe6a05b.000e6e4f	user_options->keep_guessing	0
TOP.5fe6a05b.000e6e4f	user_options->kernel_accel	0
TOP.5fe6a05b.000e6e4f	user_options->kernel_loops	0
TOP.5fe6a05b.000e6e4f	user_options->kernel_threads	0
TOP.5fe6a05b.000e6e4f	user_options->keyspace	0
TOP.5fe6a05b.000e6e4f	user_options->left	0
TOP.5fe6a05b.000e6e4f	user_options->logfile_disable	0
TOP.5fe6a05b.000e6e4f	user_options->loopback	0
TOP.5fe6a05b.000e6e4f	user_options->machine_readable	0
TOP.5fe6a05b.000e6e4f	user_options->markov_classic	0
TOP.5fe6a05b.000e6e4f	user_options->markov_disable	0
TOP.5fe6a05b.000e6e4f	user_options->markov_threshold	256
TOP.5fe6a05b.000e6e4f	user_options->backend_info	0
TOP.5fe6a05b.000e6e4f	user_options->backend_vector_width	0
TOP.5fe6a05b.000e6e4f	user_options->optimized_kernel_enable	0
TOP.5fe6a05b.000e6e4f	user_options->outfile_autohex	1
TOP.5fe6a05b.000e6e4f	user_options->outfile_check_timer	5
TOP.5fe6a05b.000e6e4f	user_options->outfile_format	3
TOP.5fe6a05b.000e6e4f	user_options->wordlist_autohex_disable	0
TOP.5fe6a05b.000e6e4f	user_options->potfile_disable	0
TOP.5fe6a05b.000e6e4f	user_options->progress_only	0
TOP.5fe6a05b.000e6e4f	user_options->quiet	0
TOP.5fe6a05b.000e6e4f	user_options->remove	0
TOP.5fe6a05b.000e6e4f	user_options->remove_timer	60
TOP.5fe6a05b.000e6e4f	user_options->restore	0
TOP.5fe6a05b.000e6e4f	user_options->restore_disable	0
TOP.5fe6a05b.000e6e4f	user_options->restore_timer	60
TOP.5fe6a05b.000e6e4f	user_options->rp_files_cnt	0
TOP.5fe6a05b.000e6e4f	user_options->rp_gen	0
TOP.5fe6a05b.000e6e4f	user_options->rp_gen_func_max	4
TOP.5fe6a05b.000e6e4f	user_options->rp_gen_func_min	1
TOP.5fe6a05b.000e6e4f	user_options->rp_gen_seed	0
TOP.5fe6a05b.000e6e4f	user_options->runtime	0
TOP.5fe6a05b.000e6e4f	user_options->scrypt_tmto	0
TOP.5fe6a05b.000e6e4f	user_options->segment_size	33554432
TOP.5fe6a05b.000e6e4f	user_options->self_test_disable	0
TOP.5fe6a05b.000e6e4f	user_options->slow_candidates	0
TOP.5fe6a05b.000e6e4f	user_options->show	0
TOP.5fe6a05b.000e6e4f	user_options->speed_only	0
TOP.5fe6a05b.000e6e4f	user_options->spin_damp	0
TOP.5fe6a05b.000e6e4f	user_options->status	0
TOP.5fe6a05b.000e6e4f	user_options->status_json	0
TOP.5fe6a05b.000e6e4f	user_options->status_timer	10
TOP.5fe6a05b.000e6e4f	user_options->stdout_flag	0
TOP.5fe6a05b.000e6e4f	user_options->usage	0
TOP.5fe6a05b.000e6e4f	user_options->username	0
TOP.5fe6a05b.000e6e4f	user_options->veracrypt_pim_start	485
TOP.5fe6a05b.000e6e4f	user_options->veracrypt_pim_stop	485
TOP.5fe6a05b.000e6e4f	user_options->version	0
TOP.5fe6a05b.000e6e4f	user_options->workload_profile	2
TOP.5fe6a05b.000e6e4f	user_options->brain_client	0
TOP.5fe6a05b.000e6e4f	user_options->brain_client_features	2
TOP.5fe6a05b.000e6e4f	user_options->brain_server	0
TOP.5fe6a05b.000e6e4f	user_options->brain_server_timer	300
TOP.5fe6a05b.000e6e4f	user_options->brain_port	6863
TOP.5fe6a05b.000e6e4f	user_options->brain_session	0
TOP.5fe6a05b.000e6e4f	hashes->hashlist_mode	2
TOP.5fe6a05b.000e6e4f	hashes->hashlist_format	0
TOP.5fe6a05b.000e6e4f	hashes->hashes_cnt	0
TOP.5fe6a05b.000e6e4f	hashes->digests_cnt	1
TOP.5fe6a05b.000e6e4f	hashes->digests_done	0
TOP.5fe6a05b.000e6e4f	hashes->salts_cnt	1
TOP.5fe6a05b.000e6e4f	hashes->salts_done	0
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	START
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	runtime_start	1608949852
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	runtime_stop	1608949852
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	status-after-work	5
TOP.5fe6a05b.000e6e4f	SUB.5fe6a05c.0003512d	STOP
TOP.5fe6a05b.000e6e4f	proc_start	1608949851
TOP.5fe6a05b.000e6e4f	proc_stop	1608949853
TOP.5fe6a05b.000e6e4f	STOP
TOP.5fe6a06e.0001ad13	START
TOP.5fe6a06e.0001ad13	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe6a06e.0001ad13	folder_config->install_dir	.
TOP.5fe6a06e.0001ad13	folder_config->profile_dir	.
TOP.5fe6a06e.0001ad13	folder_config->session_dir	.
TOP.5fe6a06e.0001ad13	folder_config->shared_dir	.
TOP.5fe6a06e.0001ad13	user_options->separator	:
TOP.5fe6a06e.0001ad13	user_options->encoding_from	utf-8
TOP.5fe6a06e.0001ad13	user_options->encoding_to	utf-8
TOP.5fe6a06e.0001ad13	user_options->rule_buf_l	:
TOP.5fe6a06e.0001ad13	user_options->rule_buf_r	:
TOP.5fe6a06e.0001ad13	user_options->session	hashcat
TOP.5fe6a06e.0001ad13	user_options->limit	0
TOP.5fe6a06e.0001ad13	user_options->skip	0
TOP.5fe6a06e.0001ad13	user_options->attack_mode	0
TOP.5fe6a06e.0001ad13	user_options->benchmark	0
TOP.5fe6a06e.0001ad13	user_options->benchmark_all	0
TOP.5fe6a06e.0001ad13	user_options->bitmap_max	18
TOP.5fe6a06e.0001ad13	user_options->bitmap_min	16
TOP.5fe6a06e.0001ad13	user_options->debug_mode	0
TOP.5fe6a06e.0001ad13	user_options->example_hashes	0
TOP.5fe6a06e.0001ad13	user_options->force	0
TOP.5fe6a06e.0001ad13	user_options->hwmon_disable	0
TOP.5fe6a06e.0001ad13	user_options->hwmon_temp_abort	90
TOP.5fe6a06e.0001ad13	user_options->hash_mode	0
TOP.5fe6a06e.0001ad13	user_options->hex_charset	0
TOP.5fe6a06e.0001ad13	user_options->hex_salt	0
TOP.5fe6a06e.0001ad13	user_options->hex_wordlist	0
TOP.5fe6a06e.0001ad13	user_options->hook_threads	32
TOP.5fe6a06e.0001ad13	user_options->increment	0
TOP.5fe6a06e.0001ad13	user_options->increment_max	256
TOP.5fe6a06e.0001ad13	user_options->increment_min	1
TOP.5fe6a06e.0001ad13	user_options->keep_guessing	0
TOP.5fe6a06e.0001ad13	user_options->kernel_accel	0
TOP.5fe6a06e.0001ad13	user_options->kernel_loops	0
TOP.5fe6a06e.0001ad13	user_options->kernel_threads	0
TOP.5fe6a06e.0001ad13	user_options->keyspace	0
TOP.5fe6a06e.0001ad13	user_options->left	0
TOP.5fe6a06e.0001ad13	user_options->logfile_disable	0
TOP.5fe6a06e.0001ad13	user_options->loopback	0
TOP.5fe6a06e.0001ad13	user_options->machine_readable	0
TOP.5fe6a06e.0001ad13	user_options->markov_classic	0
TOP.5fe6a06e.0001ad13	user_options->markov_disable	0
TOP.5fe6a06e.0001ad13	user_options->markov_threshold	256
TOP.5fe6a06e.0001ad13	user_options->backend_info	0
TOP.5fe6a06e.0001ad13	user_options->backend_vector_width	0
TOP.5fe6a06e.0001ad13	user_options->optimized_kernel_enable	0
TOP.5fe6a06e.0001ad13	user_options->outfile_autohex	1
TOP.5fe6a06e.0001ad13	user_options->outfile_check_timer	5
TOP.5fe6a06e.0001ad13	user_options->outfile_format	3
TOP.5fe6a06e.0001ad13	user_options->wordlist_autohex_disable	0
TOP.5fe6a06e.0001ad13	user_options->potfile_disable	0
TOP.5fe6a06e.0001ad13	user_options->progress_only	0
TOP.5fe6a06e.0001ad13	user_options->quiet	0
TOP.5fe6a06e.0001ad13	user_options->remove	0
TOP.5fe6a06e.0001ad13	user_options->remove_timer	60
TOP.5fe6a06e.0001ad13	user_options->restore	0
TOP.5fe6a06e.0001ad13	user_options->restore_disable	0
TOP.5fe6a06e.0001ad13	user_options->restore_timer	60
TOP.5fe6a06e.0001ad13	user_options->rp_files_cnt	0
TOP.5fe6a06e.0001ad13	user_options->rp_gen	0
TOP.5fe6a06e.0001ad13	user_options->rp_gen_func_max	4
TOP.5fe6a06e.0001ad13	user_options->rp_gen_func_min	1
TOP.5fe6a06e.0001ad13	user_options->rp_gen_seed	0
TOP.5fe6a06e.0001ad13	user_options->runtime	0
TOP.5fe6a06e.0001ad13	user_options->scrypt_tmto	0
TOP.5fe6a06e.0001ad13	user_options->segment_size	33554432
TOP.5fe6a06e.0001ad13	user_options->self_test_disable	0
TOP.5fe6a06e.0001ad13	user_options->slow_candidates	0
TOP.5fe6a06e.0001ad13	user_options->show	0
TOP.5fe6a06e.0001ad13	user_options->speed_only	0
TOP.5fe6a06e.0001ad13	user_options->spin_damp	0
TOP.5fe6a06e.0001ad13	user_options->status	0
TOP.5fe6a06e.0001ad13	user_options->status_json	0
TOP.5fe6a06e.0001ad13	user_options->status_timer	10
TOP.5fe6a06e.0001ad13	user_options->stdout_flag	0
TOP.5fe6a06e.0001ad13	user_options->usage	0
TOP.5fe6a06e.0001ad13	user_options->username	0
TOP.5fe6a06e.0001ad13	user_options->veracrypt_pim_start	485
TOP.5fe6a06e.0001ad13	user_options->veracrypt_pim_stop	485
TOP.5fe6a06e.0001ad13	user_options->version	0
TOP.5fe6a06e.0001ad13	user_options->workload_profile	2
TOP.5fe6a06e.0001ad13	user_options->brain_client	0
TOP.5fe6a06e.0001ad13	user_options->brain_client_features	2
TOP.5fe6a06e.0001ad13	user_options->brain_server	0
TOP.5fe6a06e.0001ad13	user_options->brain_server_timer	300
TOP.5fe6a06e.0001ad13	user_options->brain_port	6863
TOP.5fe6a06e.0001ad13	user_options->brain_session	0
TOP.5fe6a06e.0001ad13	hashes->hashlist_mode	2
TOP.5fe6a06e.0001ad13	hashes->hashlist_format	0
TOP.5fe6a06e.0001ad13	hashes->hashes_cnt	0
TOP.5fe6a06e.0001ad13	hashes->digests_cnt	1
TOP.5fe6a06e.0001ad13	hashes->digests_done	0
TOP.5fe6a06e.0001ad13	hashes->salts_cnt	1
TOP.5fe6a06e.0001ad13	hashes->salts_done	0
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	START
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	runtime_start	1608949870
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	runtime_stop	1608949870
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	status-after-work	5
TOP.5fe6a06e.0001ad13	SUB.5fe6a06e.0005de1c	STOP
TOP.5fe6a06e.0001ad13	proc_start	1608949870
TOP.5fe6a06e.0001ad13	proc_stop	1608949871
TOP.5fe6a06e.0001ad13	STOP
TOP.5fe6a080.00040256	START
TOP.5fe6a080.00040256	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe6a080.00040256	folder_config->install_dir	.
TOP.5fe6a080.00040256	folder_config->profile_dir	.
TOP.5fe6a080.00040256	folder_config->session_dir	.
TOP.5fe6a080.00040256	folder_config->shared_dir	.
TOP.5fe6a080.00040256	user_options->separator	:
TOP.5fe6a080.00040256	user_options->encoding_from	utf-8
TOP.5fe6a080.00040256	user_options->encoding_to	utf-8
TOP.5fe6a080.00040256	user_options->rule_buf_l	:
TOP.5fe6a080.00040256	user_options->rule_buf_r	:
TOP.5fe6a080.00040256	user_options->session	hashcat
TOP.5fe6a080.00040256	user_options->limit	0
TOP.5fe6a080.00040256	user_options->skip	0
TOP.5fe6a080.00040256	user_options->attack_mode	0
TOP.5fe6a080.00040256	user_options->benchmark	0
TOP.5fe6a080.00040256	user_options->benchmark_all	0
TOP.5fe6a080.00040256	user_options->bitmap_max	18
TOP.5fe6a080.00040256	user_options->bitmap_min	16
TOP.5fe6a080.00040256	user_options->debug_mode	0
TOP.5fe6a080.00040256	user_options->example_hashes	0
TOP.5fe6a080.00040256	user_options->force	0
TOP.5fe6a080.00040256	user_options->hwmon_disable	0
TOP.5fe6a080.00040256	user_options->hwmon_temp_abort	90
TOP.5fe6a080.00040256	user_options->hash_mode	0
TOP.5fe6a080.00040256	user_options->hex_charset	0
TOP.5fe6a080.00040256	user_options->hex_salt	0
TOP.5fe6a080.00040256	user_options->hex_wordlist	0
TOP.5fe6a080.00040256	user_options->hook_threads	32
TOP.5fe6a080.00040256	user_options->increment	0
TOP.5fe6a080.00040256	user_options->increment_max	256
TOP.5fe6a080.00040256	user_options->increment_min	1
TOP.5fe6a080.00040256	user_options->keep_guessing	0
TOP.5fe6a080.00040256	user_options->kernel_accel	0
TOP.5fe6a080.00040256	user_options->kernel_loops	0
TOP.5fe6a080.00040256	user_options->kernel_threads	0
TOP.5fe6a080.00040256	user_options->keyspace	0
TOP.5fe6a080.00040256	user_options->left	0
TOP.5fe6a080.00040256	user_options->logfile_disable	0
TOP.5fe6a080.00040256	user_options->loopback	0
TOP.5fe6a080.00040256	user_options->machine_readable	0
TOP.5fe6a080.00040256	user_options->markov_classic	0
TOP.5fe6a080.00040256	user_options->markov_disable	0
TOP.5fe6a080.00040256	user_options->markov_threshold	256
TOP.5fe6a080.00040256	user_options->backend_info	0
TOP.5fe6a080.00040256	user_options->backend_vector_width	0
TOP.5fe6a080.00040256	user_options->optimized_kernel_enable	0
TOP.5fe6a080.00040256	user_options->outfile_autohex	1
TOP.5fe6a080.00040256	user_options->outfile_check_timer	5
